source,stream,material,m3/MW,m3/MWh,coordinate mining site,location mining,reference mining,coordinate processing ,locaton processing,reference processing
coal,front_need,aluminum,0.154612546,8.40E-07,"(58.1415,-133.737)",,,,,
coal,oper_need,coal,61228.88559,0.332838039,"(37.611461,-120.594678)",,,,,
coal,front_need,concrete,66.14916667,0.000359585,"(57.6861,-152.895)",,,,,
coal,oper_waste,lime_mining_w,1748.241875,0.003019963,"(41.949,-74.2063)",,,,,
coal,oper_waste,lime_FGC,1158021.583,6.294964029,"(64.505331,-165.429814)",,,,,
coal,oper_waste,limestone ,6107.119144,0.033198082,"(64.505331,-165.429814)",,,,,
coal,oper_waste,antimony,0.000112842,6.13E-10,"(57.0516,-135.2297)",,,,,
coal,oper_waste,arsenic,0.001567659,8.52E-09,"(33.466477,-111.781064)",,,,,
coal,oper_waste,barium,0.00066063,3.59E-09,"(33.4225,-111.9122)",,,,,
coal,oper_waste,beryllium,0.000159101,8.65E-10,"(33.4225,-111.9122)",,,,,
coal,oper_waste,boron,1.336461538,7.26E-06,"(33.4225,-111.9122)",,,,,
coal,oper_waste,cadmium,8.68E-05,4.72E-10,"(33.4225,-111.9122)",,,,,
coal,oper_waste,chromium,0.001517992,8.25E-09,"(33.4225,-111.9122)",,,,,
coal,oper_waste,cobalt,0.000143265,7.79E-10,"(33.4417,-112.1583)",,,,,
coal,oper_waste,copper,0.000472219,2.57E-09,"(33.4417,-112.1583)",,,,,
coal,oper_waste,lead,0.000486581,2.65E-09,"(33.4417,-112.1583)",,,,,
coal,oper_waste,manganese,1.064640646,5.79E-06,"(33.4417,-112.1583)",,,,,
coal,oper_waste,mercury,0.00050292,2.73E-09,"(33.4417,-112.1583)",,,,,
coal,oper_waste,molybdenum,0.000685341,3.73E-09,"(32.5517,-111.3)",,,,,
coal,oper_waste,nickel,0.001197764,6.51E-09,"(32.7214,-114.7106)",,,,,
coal,oper_waste,selenium,0.015683843,8.53E-08,"(32.7214,-114.7106)",,,,,
coal,oper_waste,vanadium,0.00269808,1.47E-08,"(32.252273,-110.992148)",,,,,
coal,front_waste,CO2,19076.4292,0.103698789,"(32.16,-110.9047)",,,,,
coal,back_waste,aluminum,0.037107011,2.02E-07,"(32.16,-110.9047)",,,,,
coal,back_waste,iron,6.582139321,3.58E-05,"(32.16,-110.9047)",,,,,
coal,back_waste,copper,0.020267857,1.10E-07,"(32.16,-110.9047)",,,,,
coal,back_waste,concrete,66.14916667,0.000359585,"(32.16,-110.9047)",,,,,
coal,oper_waste,CO2,100538566.8,546.5240642,"(33.371506,-80.113235)",,,,,
coal,oper_waste,SOx,447659.3156,2.433460076,"(33.371506,-80.113235)",,,,,
coal,oper_waste,ash,1715602.279,9.325952813,"(33.371506,-80.113235)",,,,,
coal,oper_waste,NOx,292239.6445,1.588604286,"(29.733056,-81.632778)",,,,,
coal,oper_waste,CO,31.24288973,0.000169835,"(29.733056,-81.632778)",,,,,
coal,oper_waste,particulates,37.34526316,0.000203008,"(29.733056,-81.632778)",,,,,
coal,oper_waste,VOC,3529.208633,0.019184652,"(29.733056,-81.632778)",,,,,
coal,oper_waste,FGC,10587625.9,57.55395683,"(33.5561,-112.2153)",,,,,
